1	Mets	East	National	Queens	New York
2	Cubs	Central	National	Chicago	Illinois
3	Rockies	West	National	Denver	Colorado
4	Braves	East	National	Atlanta	Georgia
5	Orioles	East	American	Baltimore	Maryland
6	Phillies	East	National	Phiadelphia	Pennsylvania
7	Tigers	Central	American	Detroit	Michigan
8	Red Sox	East	American	Boston	Massachusetts
9	Cardinals	Central	National	St. Louis	Missouri
10	Angels	West	American	Anaheim	California
